Date,Portfolio_Value
2022-10-12,14186.577523430191
2022-10-13,14430.396747437362
2022-10-14,14129.92683327121
2022-10-17,14475.904890734668
2022-10-18,14817.274335350745
2022-10-19,14705.965979386463
2022-10-20,14639.159556355555
2022-10-21,14968.018727592209
2022-10-24,15141.617699872982
2022-10-25,15446.825701809865
2022-10-26,15450.424601942625
2022-10-27,15355.31257419799
2022-10-28,15851.658542686677
2022-10-31,15650.691059203096
2022-11-01,15642.184070562384
2022-11-02,15322.809489341926
2022-11-03,15201.121580080671
2022-11-04,15475.150528356864
2022-11-07,15473.542236420386
2022-11-08,15585.285260753764
2022-11-09,15364.82926775529
2022-11-10,16137.194663381482
2022-11-11,16087.886895646638
2022-11-14,15971.384305769707
2022-11-15,16103.797272434653
2022-11-16,16159.950202631006
2022-11-17,16196.377053997812
2022-11-18,16280.100075649405
2022-11-21,16246.106095624687
2022-11-22,16343.588510453259
2022-11-23,16463.26033364921
2022-11-25,16438.60026990812
2022-11-28,16235.712150846093
2022-11-29,16147.797902372668
2022-11-30,16641.826604484275
2022-12-01,16625.45275515855
2022-12-02,16695.83548542372
2022-12-05,16605.761384897716
2022-12-06,16417.526228168867
2022-12-07,16386.928784240004
2022-12-08,16534.923238042957
2022-12-09,16397.64505638963
2022-12-12,16617.300436848935
2022-12-13,16689.899038885433
2022-12-14,16689.630017121755
2022-12-15,16285.978656409421
2022-12-16,16117.767572444822
2022-12-19,15995.847278844336
2022-12-20,16021.279575907813
2022-12-21,16218.881993294039
2022-12-22,15995.331994608125
2022-12-23,16020.568050828408
2022-12-27,16059.73555717245
2022-12-28,15859.15642176432
2022-12-29,16088.357883835637
2022-12-30,15990.970733504519
2023-01-03,15926.82753632614
2023-01-04,16184.943863426373
2023-01-05,15998.486964082897
2023-01-06,16273.13849547352
2023-01-09,16166.489643716588
2023-01-10,16250.157173693739
2023-01-11,16410.564570442704
2023-01-12,16416.932407402965
2023-01-13,16389.559813860462
2023-01-17,16428.623625147033
2023-01-18,16254.90593640717
2023-01-19,16119.893463103273
2023-01-20,16198.66908828004
2023-01-23,16316.265435365476
2023-01-24,16477.551622233415
2023-01-25,16249.473055835964
2023-01-26,16276.484015446895
2023-01-27,16322.243601129469
2023-01-30,16097.42926216965
2023-01-31,16191.492265900708
2023-02-01,16259.89233912028
